Parent Summary,Parent ID,Issue ID,Issue Type,Sub-Task Summary,Sub-Task Description
,QAPC4-89,14982,Sub-task,Print a different image on every Pre-Cut,One different image on each Pre-Cut
,QAPC4-89,14982,Sub-task,Change from 44622 to 5262 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44622 to 14622 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44622 to 5260 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44622 to 842 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44622 to 44626 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44622 to 8837 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44622 to 8836 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44623 to 5262 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44623 to 14622 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44623 to 5260 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44623 to 842 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44623 to 44626 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44623 to 8837 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44623 to 8836 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44629 to 5262 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44629 to 14622 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44629 to 5260 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44629 to 842 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44629 to 44626 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44629 to 8837 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
,QAPC4-89,14982,Sub-task,Change from 44629 to 8836 and then back,"Created Sites get cleared, the first site should be the 'main image', editor acts as if its a 1/4 sheet and no crashes.
For changing back, it should bring back all the Pre-Cut functionality, all sites other than the first should be blank and no crashes."
