Parent ID,Issue ID,Issue Type,Sub-Task Summary,Sub-Task Description
QAPC4-196,15104,Sub-task,Save a Frame job with 1 Photo on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame job with 1 Photo and straight Text on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Photo and flexed Text on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Scanned Photo on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Saved Photo on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Saved Photo and 1 Scanned Photo on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 5260 Media on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and 1/8 Sheet Settings on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and 1/2 Sheet Settings on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and Custom Settings on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 13058 Media on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 44625 Media on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 6594 Media on 36.006,Prep 
QAPC4-196,15104,Sub-task,Save a Frame job with 1 Photo on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame job with 1 Photo and straight Text on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Photo and flexed Text on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Scanned Photo on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Saved Photo on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Saved Photo and 1 Scanned Photo on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 5260 Media on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and 1/8 Sheet Settings on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and 1/2 Sheet Settings on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and Custom Settings on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 13058 Media on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 44625 Media on 37.007,Prep 
QAPC4-196,15104,Sub-task,Save a Frame job with 1 Photo on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame job with 1 Photo and straight Text on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Photo and flexed Text on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Scanned Photo on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Saved Photo on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job with 1 Saved Photo and 1 Scanned Photo on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 5260 Media on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and 1/8 Sheet Settings on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and 1/2 Sheet Settings on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 842 Media and Custom Settings on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 13058 Media on 38.083,Prep 
QAPC4-196,15104,Sub-task,Save a Frame Job on 44625 Media on 38.083,Prep 
