Parent ID,Issue ID,Issue Type,Sub-Task Summary,Sub-Task Description
QAPC4-103,14996,Sub-task,Save Photo Job on 14622 on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job on 14622 with flexed text on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job on 14622 with unflexed text on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job on 1/8 sheet on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Precut Photo Job on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Unique-site Precut Photo Job on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Strip Photo Job on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save 1/4 sheet Photo Job with Scanned Photo on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save 1/4 sheet Photo Job with Saved Photo on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save 1/4 sheet Photo Job with USB loaded Photo on 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job with at least three Photos 36.006,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job on 6521 (Discontinued media) 36.006,Load job and report findings in comments section.
QAPC4-103,14996,Sub-task,Save Photo Job on 14622 on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job on 14622 with flexed text on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job on 14622 with unflexed text on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job on 1/8 sheet on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Precut Photo Job on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Unique-site Precut Photo Job on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Strip Photo Job on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save 1/4 sheet Photo Job with Scanned Photo on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save 1/4 sheet Photo Job with Saved Photo on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save 1/4 sheet Photo Job with USB loaded Photo on 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,Save Photo Job with at least three Photos 37.007,Job should be able to be loaded and fully interactible. 
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
QAPC4-103,14996,Sub-task,,
