Parent ID,Issue ID,Issue Type,Sub-Task Summary,Sub-Task Description
,,Sub-task,Airmolestripe,All letters should appear when entered
,,Sub-task,AllStar,All letters should appear when entered
,,Sub-task,Avalon,All letters should appear when entered
,,Sub-task,Beatnik Barie,All letters should appear when entered
,,Sub-task,Colourbars,All letters should appear when entered
,,Sub-task,Drina,All letters should appear when entered
,,Sub-task,Foo,All letters should appear when entered
,,Sub-task,Hickory Jack,All letters should appear when entered
,,Sub-task,KE Drops of Jupiter,All letters should appear when entered
,,Sub-task,KG TwosBetterthanOne,All letters should appear when entered
,,Sub-task,MouseMemoirs,All letters should appear when entered
,,Sub-task,Picture House,All letters should appear when entered
,,Sub-task,PleaseandCarrots,All letters should appear when entered
,,Sub-task,Squealer,All letters should appear when entered
,,Sub-task,Steelfish,All letters should appear when entered
,,Sub-task,Sundowners,All letters should appear when entered
,,Sub-task,Thirsty Soft,All letters should appear when entered
,,Sub-task,Vademeoum,All letters should appear when entered
,,Sub-task,Vanilla Shot,All letters should appear when entered
,,Sub-task,Typewriter,All letters should appear when entered
,,Sub-task,Saved Jobs has font substitution,Font in a saved job can be replaced with new text
,,Sub-task,Add Text to Photo,Add without issue
,,Sub-task,Add Text to Frame + Photo,Add without issue
,,Sub-task,Add Text to Artwork,Add without issue
,,Sub-task,Add Text to Collage,Add without issue
